InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
445922,87001, PARTY BUNTING,6,2011-12-30 00:00:00,9.87,13651.0,Spain
686801,38184,ASSORTED COLOUR BIRD ORNAMENT ,-6,03-11-2011,9.21,,United Kingdom
C484755,14642,  LUNCH BAG RED RETROSPOT ,8,"Sep 06, 2012",37.77,10820.0,EIRE
933160,73176, HOME DECOR LIGHT STRING,-8,29-03-2012,8.36,12713.0,United Kingdom
364954,35530,  SCENTED CANDLE GIFT PACK ,1,15-10-2012,4.97,17654.0,United Kingdom
370877,60388,  PARTY BUNTING ,8,"Nov 14, 2012",33.02,18922.0,United Kingdom
921939,21143, CERAMIC TEA POT FLORAL,7,08-25-2012,2.84,12311.0,Spain
991798,25624,  PARTY BUNTING ,4,16-10-2011,9.81,11515.0,United Kingdom
630309,65892, ASSORTED COLOUR BIRD ORNAMENT,1,22/02/2011,14.78,19565.0,France
448405,80585, ASSORTED COLOUR BIRD ORNAMENT ,-9,2011-09-29 00:00:00,22.03,,United Kingdom
536056,58086,JUMBO BAG RED RETROSPOT,1,2011-12-30 00:00:00,30.12,11623.0,United Kingdom
287435,21480, SCENTED CANDLE GIFT PACK,4,05/04/2011,10.49,16300.0,Japan
C552333,77136, LUNCH BAG RED RETROSPOT,1,"Sep 19, 2012",5.91,14000.0,Germany
948883,78173,JUMBO BAG RED RETROSPOT ,3,02/05/2011,15.35,15439.0,United Kingdom
981779,31705, SCENTED CANDLE GIFT PACK,1,01-31-2012,9.31,13833.0,EIRE
885339,43434,PACK OF 72 RETROSPOT CAKE CASES ,4,07/03/2011,8.49,16561.0,United Kingdom
503923,28687,HOME DECOR LIGHT STRING ,5,"Aug 04, 2011",4.76,14090.0,United Kingdom
398509,47555, PARTY BUNTING,2,31-05-2011,3.06,15164.0,United Kingdom
848294,54763,  LUNCH BAG RED RETROSPOT,1,02-12-2011,14.91,11719.0,United Kingdom
